Borehole,As,B,Ba,Be,Cd,Co,Cr,Cu,Fe,Hg,Mn,Mo,Pb,Se,Zn,fault,geology,latitude,longitude,altitude.ft,dist.gulf
1,0.2,15.2,7.1,0.3,0.3,0.1,0.5,0.6,93,0.5,0.1,26,2.2,1.5,0.8,6000,Granite+Sand,28.63811,34.798061,257,1000
2,0.3,9.4,7.5,0.3,0.4,0.1,0.3,0.6,14,18.7,0.3,14,1.9,1.8,0.6,5000,Alkaline+Granite+Sand,28.603468,34.810458,1652,1000
3,0.7,9.6,7.1,0.3,0.3,0.2,0.1,0.7,23,58.3,0.1,17,2.2,0.7,0.5,1000,Alkaline+Sandstone,28.575879,34.844785,924,4000
4,0.2,9.9,6.8,0.4,0.4,0.3,0.4,0.6,2.5,3.9,0.2,24,2.8,1.5,0.3,2000,Alkaline,28.620362,34.876969,1815,8000
5,0.7,9.1,8.8,0.4,0.3,0.2,0.5,0.7,3.7,20,0.2,11,2.3,0.9,1.6,1000,Granite+Volcanic,28.560586,34.990046,1408,14000
6,0.3,9.3,8.7,0.4,0.3,0.1,0.3,0.5,2,3.2,0.2,27,2.2,0.7,3.6,6000,Volcanic,28.602789,34.992551,2640,15000
7,0.3,18.5,9.2,0.4,0.3,0.1,0.6,0.5,4,2.3,0.1,13,2.5,2.3,1.6,500,Gypsum,28.488311,34.976893,956,13000
8,0.6,7,13.9,0.4,0.3,0.1,0.4,0.5,1.2,19.2,0.1,18,2.5,0.9,1.2,4000,Alkaline,28.572316,34.807835,1312,1000
9,0.2,8.5,3.3,0.3,0.3,0.1,0.3,0.6,2.7,1.9,0.3,31,3,0.1,0.8,6000,Gypsum,28.438361,34.786616,595,2000
10,0.1,8.6,24.6,0.4,0.3,0.2,0.8,0.5,0.8,21.7,0.1,25,2.1,1.5,1.4,6000,Volcanic+Sandstone,28.553648,34.903739,2291,8000
11,0.7,6.6,17.4,0.3,0.3,0.2,0.4,0.5,1.6,4.3,0.2,18,2.1,1.5,0.5,500,Alkaline+Granite,28.651337,34.876725,3168,8000
12,0.8,7,10.8,0.4,0.3,0.2,0.6,0.7,1.3,1,0.2,27,2.7,2.8,0.4,5000,Granite,28.584441,35.186706,2307,35000
13,0.5,7,41.2,0.3,0.1,0.2,0.5,0.5,7.8,0.7,5.2,15,2.9,2.5,6.5,4000,Gypsum,28.512148,34.957213,1089,14000
14,1.2,22.8,16.7,0.4,0.3,0.1,2.1,0.7,0.5,2.1,0.3,12,1.3,2.2,0.9,3000,Gypsum,28.448275,34.93563,864,12000
15,2.2,16.4,20.2,0.4,0.3,0.1,0.7,0.6,14.9,0.1,0.7,13,1.7,3,0.4,9000,Volcanic,28.625897,35.051013,1494,18000
16,0.4,6.6,43.1,0.5,0.3,0.7,0.7,0.5,2,1.2,0.8,23,2.3,2.3,0.1,7000,Alkaline+Granite+Volcanic,28.612935,35.218209,2284,30000
17,1,4.9,25.6,0.4,0.3,0.2,0.7,0.6,3.7,0.7,0.3,19,2.4,0.7,1.1,5000,Gypsum+Sandstone,28.54015,35.065537,1167,20000
18,0.3,16.4,77.3,0.3,0.3,0.2,1.3,0.8,0.5,0.1,0.8,12,1.1,0.5,1.2,9000,Sand,29.248557,35.017044,1032,6000
19,0.8,13.2,79.4,0.3,0.3,0.2,0.5,0.6,4.5,28.2,0.1,11,0.1,0.2,2,13000,Sand,29.235329,34.969706,279,1500
20,1.5,16.7,100.8,0.2,0.3,0.2,0.4,0.6,0.6,1.8,0.3,22,0.7,0.2,2.1,11000,Sand,29.291152,34.977884,403,1000
21,0.9,9.7,44.7,0.4,0.3,0.1,1,0.8,0.6,44.3,0.1,14,1.4,0.4,0.3,10000,Sand,29.336922,34.981922,552,1500
22,0.1,12.8,68.5,0.4,0.3,0.1,0.8,0.9,0.7,3.5,0.1,21,2,0.4,3.9,7000,Sand,29.319727,35.032035,1245,6000
23,0.5,4.4,9.1,0.5,0.3,0.1,1.4,0.6,0.2,10.1,0.1,21,1.9,0.2,3.4,200,Alkaline+Granite,29.24509,35.185575,2831,20000
